### Footprint positions - created on 2026-01-26T21:31:32-0500 ###
### Printed by KiCad version 9.0.7
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                          Package                                                       PosX       PosY       Rot  Side
C1        4u7                          C_0603_1608Metric                                          28.2500    12.0250  -90.0000  top
C2        100n                         C_0402_1005Metric                                          30.8000    12.2700  -90.0000  top
C3        100n                         C_0402_1005Metric                                          40.4000    15.6200  -90.0000  top
C4        100n                         C_0402_1005Metric                                          32.6700    20.5500  180.0000  top
C5        100n                         C_0402_1005Metric                                          29.6500    12.2400  -90.0000  top
C6        100n                         C_0402_1005Metric                                          37.8000    10.3700  -90.0000  top
C7        4u7                          C_0603_1608Metric                                          32.0250    23.1000  180.0000  top
C8        100n                         C_0402_1005Metric                                          32.6700    21.7000  180.0000  top
C9        100n                         C_0402_1005Metric                                          40.7000    18.3700  -90.0000  top
C10       4u7                          C_0603_1608Metric                                          37.3750    21.2500    0.0000  top
C11       C                            C_0402_1005Metric                                          32.4000    10.7000  180.0000  top
C12       C                            C_0402_1005Metric                                          34.5000    10.7000    0.0000  top
C13       0p8                          C_0402_1005Metric                                          41.6500    16.3700  -90.0000  top
C14       0p3                          C_0402_1005Metric                                          44.7600    16.4200  -90.0000  top
C15       100n                         C_0402_1005Metric                                          21.3200    10.3500  180.0000  top
C16       100n                         C_0402_1005Metric                                          54.8500    10.1700  -90.0000  top
C17       4u7                          C_0603_1608Metric                                           9.9000    11.3750  -90.0000  top
C18       4u7                          C_0603_1608Metric                                          15.9500    11.4000  -90.0000  top
C19       100n                         C_0402_1005Metric                                          30.2200    16.9000  180.0000  top
D1        LED                          LED_0402_1005Metric                                        30.3150    14.0000    0.0000  top
FID1      Fiducial                     Fiducial_1mm_Mask2mm                                        7.8500     2.4000    0.0000  top
FID2      Fiducial                     Fiducial_1mm_Mask2mm                                       51.2000    23.6000    0.0000  top
FID3      Fiducial                     Fiducial_1mm_Mask2mm                                       51.2000     2.1000    0.0000  top
FLT1      DLF162500LT-5028A1           Untitled                                                   46.5500    16.9300    0.0000  top
J1        Conn_Coaxial                 U.FL_Hirose_U.FL-R-SMT-1_Vertical                          49.8700    16.8000    0.0000  top
J3        USB_C_Receptacle_USB2.0_16P  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal     4.0600    14.5500  -90.0000  top
J4        Conn_01x04_Pin               Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal         36.9250     4.8000    0.0000  top
L1        10u                          L_0805_2012Metric                                          35.4125    23.0000  180.0000  top
L2        10n                          L_0402_1005Metric                                          34.3500    20.9850   90.0000  top
L3        2n7                          L_0402_1005Metric                                          43.2250    16.8500  180.0000  top
R1        5k1                          R_0402_1005Metric                                          56.0000    10.1400  -90.0000  top
R2        220R                         R_0402_1005Metric                                          53.2400    10.6500    0.0000  top
R3        5k1                          R_0402_1005Metric                                           6.9600     8.5000    0.0000  top
R4        5k1                          R_0402_1005Metric                                           7.6500    20.9000  180.0000  top
R5        220R                         R_0402_1005Metric                                          39.0000    10.3400  -90.0000  top
R6        220R                         R_0402_1005Metric                                          40.1000    10.3400  -90.0000  top
R7        220R                         R_0402_1005Metric                                          28.0400    14.2000  180.0000  top
SW1       SW_Push                      SW_SPST_CK_RS282G05A3                                      47.2000    10.7000    0.0000  top
U1        STM32WB55CEU6                QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                        35.6000    15.6500   90.0000  top
U2        USBLC6-2SC6(ESD)             SOT-23-6                                                   13.8125    18.7000    0.0000  top
U3        MIC5365-3.3YD5               TSOT-23-5                                                  13.0125    11.2500    0.0000  top
Y1        32MHz                        Crystal_SMD_2016-4Pin_2.0x1.6mm                            40.8000    21.4000   90.0000  top
Y2        32kHz768                     Crystal_SMD_2012-2Pin_2.0x1.2mm                            33.1000     8.3500    0.0000  top
## End
